Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
GGM/673/405/2023/17 DATED 23.01.2023,BIRLA NAVYA (AVIK PHASE-1),AVARNA PROJECTS LLP,"SECTOR- SECTOR-63A,VILLAGE- K
ADARPUR, MAIDAWAS, ULLAHWAS",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6104 (Acre),Not available,Not available,STONES / TILES/ANTI -SKID TILES/ EQUIVALENT /WOODEN FLOORING,ACRYLIC EMULSION /OBD/EQUIVALENT,WOODEN DOORS AND ALUMINIUM WINDOWS,LED FOR ONLY THE COMMON AREAS,I COMMON /PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
GGM/692/424/2023/36 DATED 02.02.2023 (SUPERSEDED BY GGM/745/477/2023/89 DATED 11.09.2023),THE NATION,JMS INFRA REALITY PVT LTD,VPO WAZIRPUR SECTOR 95,GURUGRAM,441.67,350.61,263.85,0,464.73,72.98,0,60.5,0,0,0,0,0,0,19.0125 (Acre),Not available,Not available,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
15 OF 2018 DATED 19.01.2018,10.5437 ACRES GROUP HOUSING COLONY,CHD DEVELOPERS LTD.,"SECTOR-71, GURUGRAM",GURUGRAM,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
15 OF 2018 DATED 19.01.2018,10.5437 ACRES GROUP HOUSING COLONY,CHD DEVELOPERS LTD.,"SECTOR-71, GURUGRAM",GURUGRAM,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
57(A) OF 2017 DATED 17.8.2017,M3M MARINA/M3M SIERRA 68 ( GROUP HOUSING COLONY),HANS PROPCON PVT. LTD,"SECTOR-68, GURUGRAM",GURUGRAM,616.56,432.32,563.88,1085.48,0,98.28,575.9,84.6,426.14,13.35,18.77,0,0,15.53,13.2118 (Acre),31-01-2022,36,VITRIFIED TILE/LAMINATED /CERAMIC TILE,NA,N.A.,BRANDED,NA,BRANDED,PLASTER WITH PAINT
38 OF 2017 DATED 10.08.2017,2.425 ACRES COMMERCIAL COLONY,OJOS DEVELOPERS PVT. LTD.,"SECTOR 70, GURUGRAM",GURUGRAM,0,133.70,17.92,0,60.02,9.31,0,0,0,0,0,0,0,0,9813.611 (Sqr/mtrs),31-12-2020,100,BARE SHELL,NA,NA,NA,NA,NA,BARE SHELL
166 OF 2017 DATED 29.08.2017,AIPL BUSINESS CLUB,ADVANCE INDIA PROJECTS LTD.,"SECTOR 62, MEDAWAS, GURUGRAM",GURUGRAM,210.84,1136.63,170.50,954.780,64.28,20.12,287.43,0,0,0,0,0,0,0,3.47 (Acre),28-11-2019,100,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"OFFICE – 4 PARKING LIFTS, 12 PASSENGER LIFTS, 3 SERVICE LIFTS",NOT APPLICABLE,CEMENT PLASTER
156 OF 2017 DATED 28.08.2017,COLONNADE,EMAAR MGF LAND LTD.,"SECTOR-66, VILLAGE BADSHAHPUR
, GURUGRAM",GURUGRAM,70.0,88.0,58.9,260.0,37.0,4.0,590.0,103.7,0,0,45.6,0,0,0,2.25 (Acre),31-12-2021,81.4,NA,NA,NA,PROVISION OF ELECTRICAL FITTINGS FOR ALL THE COMMON AREA AS PER REQUIREMENT.,FOR RETAIL: 2NOS OF PASSENGERS LIFTS & 1NOS OF SERVICE LIFT CONNECTION FROM BASEMENT TO RETAIL FLOORS FOR OFFICE FLOORS: 4NOS OF PASSENGERS LIFTS & 1NO OF SERVICE LIFT IN FIRE TOWER AS PER NBC REQUIREMENT.,PROVISION OF ELECTRICAL FITTINGS FOR ALL THE EXTERNAL DEVELOPMENT AS PER REQUIREMENT.,NA
82 OF 2017 DATED 23.08.2017,AFFODABLE GROUP HOUSING COLONY-ZARA ROSSA,DELURIS BUILDTECH INDIA PVT LTS,"SECTOR 112, BAJGHRA, GURUGRAM",GURUGRAM,290,56,280,400,111,20,300,30,0,0,28,0,0,445,5.00625 (Acre),Not available,Not available,"VITRIFIED TILE IN ROOMS, CERAMIC TILE IN TOILETS",CERAMIC TILE UP TO 2FEET ABOVE COUNTER,ALUMINIUM/UPVC FOR EXTERNAL WINDOWS. WOODEN FRAME IN INTERNAL DOOR,ISI MARK,AS REQUIRED,ISI MARK,OIL BOUND DISTEMPER IN WALL & CEILING
GGM/543/275/2022/18 DATED 14.03.2022(SUPERSEDED BY GGM/692/424/2023/36 DATED 02.02.2023),THE NATION,JMS INFRA REALITY PRIVATE LIMITED,"SECTOR 95, WAZIRPUR",GURUGRAM,123.27,42.42,114.13,98.42,134.95,113.55,0,52.95,250,400,0,0,0,0,16.55625 (Acre),Not available,Not available,NOT APPLICABLE,NA,NA,NA,NA,NA,NA
GGM/511/243/2021/79 DATED 15.11.2021,WESTERLIES,EXPERION DEVELOPERS PVT. LTD.,SECTOR 108,GURUGRAM,567.64,51.23,127.15,0,40.56,61.51,0,39.07,0,0,0,0,0,0,16.03125 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
GGM/590/322/2022/65 DATED 18.07.2022,ASHIANA AMARAH PHASE I & IA,ASHIANA HOUSING LIMITED,"VILL. WAZIRPUR , SEC 93 , GUR
UGRAM",GURUGRAM,190,50,43,70,67,14,59,12,0,0,6,0,0,0,5.041 (Acre),Not available,Not available,VITRIFIED TILES (600X600) OR (800X800).,TILES - SAND-CEMENT PLASTER AND A COAT OF POP WITH COATING OF EMULSION PAINT.,"2 TO 3 TRACK ALUMINIUM/UPVC FRAMED WINDOW, WITH 2 TO 3 SLIDING PANELS DEPENDING UPON SIZE WITH CLEAR FLOAT GLASS AND PROVISION FOR FLY MESH SHUTTER.",MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/NORTH WEST/LEGRAND OR EQUIVALENT,NA,NA,"LIFT LOBBY IN BASEMENT, STILT/GROUND FLOOR AND UPPER FLOORS: GRANITE AND/OR MARBLE AND/OR QUARTZ STONE AND /VITRIFIED TILES AND/OR CERAMIC TILES AND/OR CEMENT SAND PLASTER AND/OR OTHER LOCAL STONE AND/OR COMBINATION OF ANY TWO OR MORE ITEMS WITH EMULSION PAINT FINISH (WHEREVER APPLICABLE)."
GGM/603/335/2022/78 DATED 17.08.2022,INDEPENDENT FLOORS AT DLF GARDENCITY ENCLAVE,DLF LIMITED,SECTOR 93,GURUGRAM,146,71,69,249,95,30,37,315,0,0,0,0,0,0,3.57 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,WOODEN FRAMES FOR DOORS UPVC/AL/MS FRAMES FOR WINDOWS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,WHITE WASH / OBD
GGM/386/118/2020/02 DATED 06.01.2020,SIGNATUREGLOBAL PROXIMA 2,SIGNATURE INFRABUILD PRIVATE LIMITED,"VILLAGE HAYATPUR, SECTOR 89 G
URUGRAM-MANESAR URBAN COMPLEX, HARYANA",GURUGRAM,107.17,136.98,66.41,0,164.78,14.52,0,13.57,0,0,0,0,0,161.14,4.73125 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
159 OF 2017 DATED 29.08.2017,COMMERCIAL COLONY,CHD DEVELOPERS LTD.,"SECTOR 34, DHUNELA, SOHNA",GURUGRAM,2330.57,29.17,342.3,510.59,474.07,90.38,78.28,862.61,0,0,164.64,170.90,0,0,55.962 (Acre),22-08-2022,90,VITRIFIED TILES / LAMINATED WOODEN FLOORING,NA,NA,MODULAR SWITCHES,PROVIDED,MODULAR SWITCHES,NA
115 OF 2017 DATED 28.08.2017,"SOBHA CITY- PHASE 1,PART 2",SOBHA LIMITED,"VILLAGE BABUPUR,SECTOR-108, G
URUGRAM",GURUGRAM,97.35,112.59,46.05,0,62.31,21.36,0,3.29,0,0,0,0,0,0,0.76635 (Acre),30-04-2022,27,FOR TOWER A2 AND B2:- LAMINATED WOODEN FLOORING AND SKIRTING / VITRIFIED TILE FLOORING AND SKIRTING /CERAMIC TILE. FOR TOWER C2:- NATURAL / ENGINEERED STONE FLOORING AND SKIRTING/ LAMINATED WOODEN FLOORING AND SKIRTING / VITRIFIED TILE FLOORING AND SKIRTING /CERAMIC TILE.,"CERAMIC TILE FLOORING, WALL TILING & PLASTIC EMULSION PAINT FOR CEILING.",FRAME – TIMBER FRAME & SHUTTERS – WITH BOTH SIDE MASONITE SKIN.,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION.,FOR TOWER A2 AND B2:- CAPACITY - 2 NOS. OF 8 PASSENGER LIFT OF REPUTED MAKE IN ALL TOWERS. FOR TOWER C2:- CAPACITY - 1 NO. OF 15 PASSENGER & 2 NOS. OF 8 PASSENGER LIFT OF REPUTED MAKE.,NA,PLASTIC EMULSION PAINT FOR WALLS & CEILING.
GGM/734/466/2023/78 DATED 17.07.2023,TRUMP TOWERS DELHI NCR,OLIVE REALCON PRIVATE LIMITED,"SECTOR-65, GURUGRAM, HARYANA",GURUGRAM,75.53,237.40,51.93,30.00,132.70,40.00,248.41,70.00,0.00,0.00,45.72,0.00,0.00,3862.48,2.83125 (Acre),30-06-2025,38,MARBLE/ WOODEN FLOORING / TILE,POLISHED GRANITE/STONE COUNTER WITH STANDARD MAKE SS SINK AND CP FITTINGS,"COMBINATION OF PANELLED/FLUSHED DOOR, CURTAIN GLAZING WITH SLIDING PANELS / POWDER COATED / ANODIZED ALUMINIUM WINDOWS","COMMON AREA LIGHTING, GEYSER IN ALL TOILETS",SCHINDLER / KONE / OTIS /THAISON/HITACHI / OR EQUIVALENT,"COMMON AREA LIGHTING, GEYSER IN ALL TOILETS",COMBINATION OF SELECTED STONE/GRANITE/PANELLING AND PAINT.
298 OF 2017 DATED 13.10.2017,INDIABULLS ONE09,CITRA PROPERTIES LTD.,"SECTOR 109, GURUGRAM",GURUGRAM,32.53,71.82,15.54,567.7,15.6,5.81,325.8,2.58,0,0,12.83,0,0,540.36,1.11 (Acre),31-05-2024,50,VITRIFIED TILES,FINISHED WITH TILES AND COUNTER STONE,ALUMINIUM FRAME WITH GLASS,IS CERTIFIED ELECTRICAL FITTING,10 LIFTS OF JOHNSON & 8 OF KONE,IS CERTIFIED ELECTRICAL FITTING,TILES & PAINTS
GGM/396/128/2020/12 DATED 27.05.2020,PALM HILLS PHASE 1,EMAAR MGF LAND LTD,SECTOR 77,GURUGRAM,277.75,305.46,97.36,93.89,50.46,3.00,221.00,18.07,0,0,6.05,0,0,0,7.41 (Acre),24-12-2019,100,VITRIFIED TILES / LAMINATED WOODEN FLOORING / CERAMIC TILE,NA,SEASONED HARDWOOD FRAME / UPVC,MODULAR SWITCHES,PROVIDED,NA,NA
28 OF 2017 DATED 28.07.2017,70 GRANDWALK,SHINE BUILDCON PVT. LTD.,"SECTOR-70, GURUGRAM",GURUGRAM,46.13,85.76,16.45,0,22.92,5.33,0,0,0,0,0,0,0,58.41,2.893 (Acre),30-06-2022,0,"GF CENTRAL PLAZA - PAVERS/ TILES, COMMON TOILETS - VITRIFIED / CERAMIC TILES, CORRIDORS / PASSAGE - VITRIFIED / CERAMIC TILES, RETAIL SHOPS - BARE SHELL, COMMON STAIRCASE - KOTA STONE, LIVING ROOM - VITRIFIED FLOORING / LAMINATED WOODEN FLOORING, BALCONY - ANTI-SKID CERAMIC TILES.","WALLS - CERAMIC TILE UP TO 2FT.ABOVE COUNTER AND OIL BOUND DISTEMPER IN THE BALANCE AREA, COUNTER: POLISHED GRANITE COUNTER TOP, FITTING/FIXTURES : CP FITTINGS, SINGLE BOWL STAINLESS STEEL SINK.","ENTRANCE DOORS - SEASONED WOODEN FRAME WITH HARDWOOD (POLISHED) DOOR SHUTTER, INTERNAL DOORS : SEASONED WOODEN FRAME WITH MOULDED SKIN DOOR SHUTTER, EXTERNAL DOOR /WINDOWS : UPVC/ALUMINIUM SLIDING/SWING GLASS SHUTTER.",BRANDED MODULAR SWITCHES AND SOCKETS.,7 PASSENGER 1 SERVICE,BRANDED MODULAR SWITCHES AND SOCKETS. COPPER WIRING,PLASTER WITH PAINT
232 OF 2017 DATED 19.09.2017,10 ACRES (AFFORDABLE GROUP HOUSING PROJECT),GLS INFRATECH PVT.LTD,"SECTOR-4, KHAIKA, GURUGRAM",GURUGRAM,165,226.2,18.25,250.50,167,45,175,52,450,0,15.50,0,0,359,10 (Acre),10-04-2020,70,TILES,TILES,"PAINTED HARDWOOD WITH FLUSH DOOR, POWDER COATED UPVC DOOR/WINDOWS FRAME","USE OF ISI MARK PRODUCT OF SWITCHES, SOCKETS AND WIRES.",AS PER NBCC CODE,NA,OIL BOUND DISTEMPER
152 OF 2017 DATED 28.08.2017,AFFORDABLE GROUP HOUSING COLONY,PERFECT BUILDWELL PRIVATE LIMITED,SECTOR 104,GURUGRAM,1620.13,449.75,146.64,0,256.74,58.7,0,14.4,0,0,0,0,0,0,11.69 (Acre),23-08-2022,80,VITRIFIED TILES / CERAMIC TILES / ANTISKID TILES,VITRIFIED / CERAMIC TILES/ GRANITE COUNTERS,NA,MODULAR SWITCHES,PROVIDED,MODULAR SWITCHES,NA
337 OF 2017 DATED 27.10.2017,83 METRO STREET,S.V HOUSING PVT. LTD.,"SETOR - 83, GURUGRAM",GURUGRAM,173.05,179.90,36.83,1364.92,71.95,16.12,620.49,0,0,0,90.00,0,0,0,4.20 (Acre),Not available,Not available,STONE / TILE FLOORING IN COMMON AREAS,N/A,ALUMINIUM FRAMES WITH GLASS,ELECTRICAL FITTINGS & FIXTURES NOT PROVIDED,10 NOS,ELECTRICAL FITTINGS & FIXTURES NOT PROVIDED,CEMENT / GYPSUM PLASTER IN COMMON AREAS
60 OF 2017 DATED 18.8.2017,"ILD GREENS ( TOWER 2,6 AND 7)",ILD MILLENNIUM PVT. LTD,"SECTOR- 37C, GURUGRAM",GURUGRAM,1266,290,125,703,200,0,0,2863,0,304,0,0,0,1011,9.1490 (Acre),31-12-2020,71,VITRIFIED / ANTISKID CERAMIC TILES,GRANITE COUNTER / 2’ DADO CERAMIC TILE,ENAMEL PAINT FINISH / MIRANDI DOOR FRAME,ANCHOR ROMA /EQUIVALENT SWITCHES / POWER POINTS,JOHNSON / / EQUIVALENT,ANCHOR ROMA / EQUIVALENT,ACRYLIC / OBD
GGM/418/150/2020/34 DATED 06.10.2020,WOODVIEW RESIDENCIES,ORRIS INFRASTRUCTURE PRIVATE LIMITED,"SECTOR 89-90, GURUGRAM",GURUGRAM,683.8687,154.4318,229.4368,0,78.034,115.2982,741.5613,57.5182,2100,0,175.6329,930,430,0,114.506 (Acre),15-07-2023,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GGM/411/143/2020/27 DATED 22.06.2020,ARADHYA HOMES,4S DEVELOPERS PVT. LTD.,"SECTOR 67-A, GURUGRAM, HARYAN
A",GURUGRAM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10464 (Sqr/mtrs),Not available,Not available,ITALIAN FLOOR IN DRAWING DINING ROOM AND ALL BEDROOM VERIFIED TILES AND SAME IN BATHROOM,MODULAR KITCHEN,UPVC WINDOW,PLAZA FITTINGS,NA,PLAZA WIRING,POP & PAINT FINISH
GGM/482/214/2021/50 DATED 07.09.2021,ASHIANA ANMOL PHASE II,ASHIANA HOUSING LIMITED,"VILL. DHUNELA, SECTOR - 33, T
ESHIL SOHNA",GURUGRAM,97.97,54.37,8.80,162.69,8.98,8.13,92.21,6.07,0,0,7.88,0,0,0,2.40928 (Acre),30-04-2026,0,LIVING/ DINING / LOBBY : DOUBLE CHARGED VITRIFIED TILES BEDROOM: DOUBLE CHARGED VITRIFIED TILES KITCHEN: DOUBLE CHARGED VITRIFIED TILES BATHROOM & BALCONY : CERAMIC TILES,"DOUBLE CHARGED VITRIFIED TILES, 600MM HIGH CERAMIC TILES DADO ABOVE PLATFROM AND PLASTIC PLASTIC EMULSION OF PLEASING SHADE. KITCHEN PLATFORM IN QUALITY QUARTZ/GRANITE STONE WITH STAINLESS STEEL SINK WITH STAINLESS, SHINK DRAIN AND PROVISION FOR HOT AND COLD WATER SUPPLY.",FOLDED STEEL SECTION,"CONVENIENT PROVISION AND DISTRIBUTION OF LIGHTS AND POWER PLUGS ; PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM, GAS PIPELINE AND WATER PURIFIER PPOINT IN KITCHEN.",TWO GEARLESS HIGH SPEED AUTOMATIC LIFTS IN EACH BLOCK WITH DG BACKUP.,NA,NA
GGM/494/226/2021/62 DATED 11.10.2021,SIGNATURE GLOBAL PARK-1(1),SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE DHUNELA, SECTOR 36",GURUGRAM,85.68,90.00,42.74,0,55.49,11.51,0,0,0,0,0,0,0,72.05,3.91 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/538/270/2022/13 DATED 21.02.2022,THE GROVE,DLF LIMITED,"DLF 5, SECTOR 54",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3073 (Acre),Not available,Not available,TILE/STONE/MARBLE/GRANITE,N/A,MODULAR / UPVC/ AL,MODULAR FITTINGS AND MODULAR TOUCH SWITCHES IN SELECT AREAS. HOME AUTOMATION WITH CONTROL DEVICE IN SELECT AREAS,BRANDED MAKE,MODULAR FITTINGS AND MODULAR TOUCH PANELS IN SELECT AREAS,N/A
GGM/675/407/2023/19 DATED 30.01.2023,CHINTAMANIS,AVIANA GREENS ESTATES PVT LTD,"SECTOR 103,VILL DAULTABAD, GU
RUGRAM",GURUGRAM,108.33,343.18,42.00,300.00,335.00,39.07,30.00,16.20,0,0,0,0,0,0,4.1875 (Acre),Not available,Not available,VITRIFIED TILES,ISI MARKED,HARD WOOD FRAMES/FLUSH DOORS,ISI MARKED,AS PER STANDERDS,ISI MARKED,PAINT
GGM/752/484/2023/96 DATED 23.10.2023,NANDAKA,GANGA GLOBAL HOMES PRIVATE LIMITED,"VILLAGE SIHI, SECTOR-84,",GURUGRAM,628.50,434.59,434.59,1705.69,803.60,179.57,1518.39,35.91,0,0,48.38,0,0,0,5.8406 (Acre),Not available,Not available,"BEDROOM-WOODEN FLOORING, LIVING DINING AND KITCHEN -ITALIAN/ IMPORTED MARBLE,",WALL / FLOORING- ITALIAN /IMPORTED MARBLE COUNTER-GRANITE,WOODEN/WPC/ALLUMINIUM/UPVC,"MODULAR SWITCHES, BOXES, SOCKETS",ISI MARKED AS PER MARKET STANDARD,"MODULAR SWITCHES, BOXES, SOCKETS","FALSE CEILING, WALLS-PLASTIC EMUSION/ACRYLIC/PAINT FLOORING- ITALIAN/ IMPORTED MARBLE"
GGM/478/210/2021/46 DATED 27.07.2021,SIGNATURE GLOBAL CITY 81,STERNAL BUILDCON PRIVATE LIMITED,"VILLAGE NAKHDOLA, SECTOR 81",GURUGRAM,213.44,159.73,51.82,0,127.33,18.38,0,0,0,0,0,0,0,0,9.12 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/522/254/2021/90 DATED 20.12.2021,INDEPENDENT FLOORS AT DLF GARDENCITY,DLF UTILITIES LIMITED,"DLF GARDENCITY, SECTOR 91/92",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.246 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS/ AL,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTING,"WEATHER SHIELD PAINT ON EXTERNAL SURFACES, OBD IN STILTS."
GGM/502/234/2021/70 DATED 25.10.2021,SMARTWORLD GEMS,ADHIKAANSH REALTORS PRIVATE LIMITED,"SECTOR-89, GURUGRAM MANESAR U
RBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,2420,294,459,352,628,201,16,238,0,0,0,0,0,0,14.21 (Acre),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA
GGM/689/421/2023/33 DATED 02.02.2023,MAPSKO MOUNT VILLE PHASE - II,MAPSKO BUILDERS PVT LTD,"SECTOR 78 & 79, GURUGRAM",GURUGRAM,25,30,20,50,0,7.5,35,30,0,0,0,0,0,0,2.1320 (Acre),Not available,Not available,"LAMINATED WOODEN, IMPORTED MARBLE, ANTI SKID CERAMIC/VITRIFIED TILES",MODULAR KITCHEN (OPTIONAL),SEASONED HARDWOOD FRAMES & UPVC,BRANDED ELECTRIC FITTINGS,HIGH SPEED ELEVATOR,BRANDED ELECTRIC FITTINGS,GYPSUM PLASTER WITH PLASTIC PAINT WITH PLEASING SHADES
233 OF 2017 DATED 19.09.2017,AVENUE 51 ( AFFORDABLE GROUP HOUSING PROJECT),GLS INFRAPROJECTS PVT.LTD,"SECTOR-92, GURUGRAM",GURUGRAM,128.6784,176.4064,14.23,207.445,130.238,50,136.47,40.553,410,0,15.5,0,0,190.48,6.3125 (Acre),20-07-2021,0,TILES,TILES,PAINTED HARDWOOD WITH FLUSH DOOR AND POWDER COATED ALUMINIUM WIINDOWS/DOOR FRAME,"USE OF ISI MARK PRDUCT FOR WIRING, SWITCHES AND SOCKETS",AS PER NBCC CODE,NA,OBD
184 OF 2017 DATED 14.09.2017,AFFORDABLE GROUP HOUSING COLONY,CHIRAG BUILDTEC PRIVATE LIMITED,"SECTOR 95, VILLAGE DHORKA, GR
UGRAM",GURUGRAM,41.44,176.20,35.37,10.91,69.74,7.69,12.24,0,0,0,0,0,0,61.41,5.04375 (Acre),01-02-2018,45,CERAMIC/VITRIFIED TILES,"CERAMIC TILES, PAINT, GREEN MARBLE, SINK","BALCONY DOORS, WINDOWS- ALUMINIUM FRAMING WITH GLASS",LED LIGHTS IN COMMON AREA,12-13 PASSENGER WITH ARD,LED LIGHTS IN COMMON AREA,PAINT
219 OF 2017 DATED 18.09.2017,2.9812 ACRES COMMERCIAL PROJECT,PLUS PROJECTS PVT. LTD,"SECTOR-62, GURUGRAM",GURUGRAM,48.26,130.36,21.37,200,20,3.75,150,0.86,0,0,0,0,0,0,0.92 (Acre),30-06-2019,100,"GRANITE IN OPEN COURTYARD , PASSAGE , CORRIDORS & STAIRS , VITRIFIED TILES FLOORING","MODULAR TYPE AND OZONE CHANNELS , FLOORING CERAMIC TILES",CHOKHAT FRAME & WINDOW SHUTTER OF SAG WAN AND POLISHABLE WOOD,"GEYSER , FAN",4 LIFT,"GEYSER , FAN",POP AND PAINT
GGM/408/140/2020/24 DATED 10.09.2020,PALM DRIVE & PALM TERRACE SELECT,EMAAR MGF LAND LTD,SECTOR 66,GURUGRAM,323.19,120.85,546.27,186.80,145.67,16.62,96.09,139.63,0,0,9.43,0,0,0,17.429 (Acre),08-08-2022,100,IMPORTED MARBLE/ VITRIFIED TILES / LAMINATED WOODEN FLOORING / CERAMIC TILE,NA,SEASONED HARDWOOD FRAME / UPVC,PVC CONDUITS AND WIRING,PROVIDED,NA,NA
GGM/550/282/2022/25 DATED 11.04.2022,DLF GARDENCITY ENCLAVE,M/S. DLF LIMITED,SECTOR 93,GURUGRAM,504,246,239,863,250,103,130,1090,0,0,0,0,0,983,26.91875 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/646/378/2022/121 DATED 13.12.2022,ORCHID IVY- 2,M/S ORCHID INFRASTRUCTURE DEVELOPERS PVT. LTD.,"M-BLOCK, SECTOR-51, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4387.69 (Sqr/mtrs),Not available,Not available,MARBLE /VITRIFIED TILES/MATT FINISH TILES/ ANTI SKID CERAMIC TILES,"MODULAR KITCHEN WITH SS SKIP AND C.P FITTING, CERAMIC TILES IN DDO 2FT. ABOVE GRANITE COUNTER",WINDOWS FRAMES IN POWDER COATED ALUMINIUM OR EQUIVALENT /UPVC AND DOOR FRAMES IN MARANDI/ HARDWOOD,SUPERIOR ISI APPROVED/ EQUIVALENT FITTINGS,PASSENGER ELEVATOR -08 PERSONS,"ALL MODULAR SWITCHES, SOCKETS AND FIXTURES",ACRYLIC/PLASTIC EMULSION PAINT/ OBD
