XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r379998,Group Seven Rushi Heights,"Goregaon East, Mumbai",Rs1.02 Cr - 2.11 Cr,"Rs28,926 Per Sq. Ft",Well Occupied,"2, 3 BHK",690 Sq. Ft to 1425 Sq. Ft (Saleable),Group Seven,180 units,5.74 Acres,Ask for Details,Ask for Details,Goregaon East,Mumbai Western Suburbs,,https://www.squareyards.com/group-seven-projects/8123/builder,N/A,1,N/A,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games
r222185,B U Bhandari Hill Side Phase I,"Baner, Pune",Price on Request,N/A,Well Occupied,2 BHK,900 Sq. Ft to 1000 Sq. Ft (Saleable),BU Bhandari,21 units,Ask for Details,Ask for Details,Ask for Details,Baner,Pune West,,https://www.squareyards.com/bu-bhandari-projects/551/builder,33 Years Experience,45,N/A,A51800000454,N/A,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r378931,L & T Emerald Isle Tower 16,"Powai, Mumbai",Rs2.61 Cr - 5.70 Cr,"Rs31,579 Per Sq. Ft",Near Possession,"2, 3, 4 BHK",735 Sq. Ft to 1652 Sq. Ft (Carpet),LT Realty Limited,127 units,19 Acres,Ask for Details,Ask for Details,Powai,Mumbai Central Suburbs,,https://www.squareyards.com/lt-realty-limited-projects/4818/builder,N/A,9,31,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner, Air Conditioner Fittings; Bathroom: Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,Power Backup; Home Automation; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Jacuzzi; Senior Citizen Area
r416195,Varsha Balaji Park,"Kharghar, Navi Mumbai",Rs1.14 Cr - 2.58 Cr,"Rs22,253 Per Sq. Ft",Under Construction,"1, 2, 3 BHK",478 Sq. Ft to 843 Sq. Ft (Carpet),Varsha Group,96 units,1.28 Acres,Ask for Details,Ask for Details,Kharghar,CBD Belapur,"Strategically located near NH 4 and Sion Panvel Highway for seamless connectivity,Enjoy power backup for uninterrupted living at Varsha Balaji Park,Poseidon vitrified tiles and oil-bound distemper walls in master bedrooms,World-class gymnasium for a healthy and active lifestyle,RERA approved - P52000024410 for transparency and peace of mind,Experience luxurious living with thoughtful amenities in Kharghar",https://www.squareyards.com/varsha-group-projects/11770/builder,N/A,3,2,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Normal Park / Central Green,Indoor Games; Obeservatory Deck; Senior Citizen Area
r163343,Mont Vert Belrose,"Baner Pashan Link Road, Pune",Price on Request,N/A,Ready to Move,"2, 3 BHK",1032 Sq. Ft to 1432 Sq. Ft (Saleable),Mont Vert,144 units,4 Acres,Ask for Details,Ask for Details,Baner Pashan Link Road,Pune West,,https://www.squareyards.com/mont-vert-projects/1631/builder,N/A,2,49,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,N/A
r32692,Emaar MGF Emerald Hills,"Sector 65, Gurgaon",Rs7.25 Cr - 10.35 Cr,N/A,Ready to Move,Ask for Details,3150 Sq. Ft to 4500 Sq. Ft (Saleable),Emaar,823 units,55.96 Acres,Ask for Details,Ask for Details,Sector 65,Golf Course Extension,,https://www.squareyards.com/emaar-projects/40/builder,14 Years Experience,6,62,660/2017/307,Structure: Not Specified,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security,Large Green Area,N/A
r376661,Kolte Patil Verve,"Bangur Nagar, Mumbai",Rs2.53 Cr - 3.67 Cr,"Rs27,937 Per Sq. Ft",Under Construction,"2, 3 BHK",712 Sq. Ft to 1033 Sq. Ft (Carpet),Kolte Patil Developers Ltd,287 units,3 Acres,Ask for Details,Ask for Details,Bangur Nagar,Mumbai Western Suburbs,,https://www.squareyards.com/kolte-patil-developers-ltd-projects/457/builder,29 Years Experience,15,125,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Sauna; Party Hall; Clubhouse; Indoor Games; Spa; Jacuzzi
r332195,Goyal Riviera Majestica,"Shela, Ahmedabad",Rs2.82 Cr - 7.78 Cr,N/A,Mid Stage,"4, 5 BHK",4130 Sq. Ft to 11400 Sq. Ft (Saleable),Goyal And Co,340 units,4.02 Acres,Ask for Details,Ask for Details,Shela,SG Highway,,https://www.squareyards.com/goyal-and-co-projects/767/builder,49 Years Experience,5,17,CITY/AUDA/AA00022/220822R1,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo,Power Backup; Solar Heaters; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Indoor Games
r375643,Poulomi Avante,"Kokapet, Hyderabad",Rs1.18 Cr - 2.29 Cr,"Rs9,000 Per Sq. Ft",Under Construction,"2, 3 BHK",1310 Sq. Ft to 2540 Sq. Ft (Saleable),Poulomi Estates,477 units,4.75 Acres,Ask for Details,Ask for Details,Kokapet,West Zone,,https://www.squareyards.com/poulomi-estates-projects/2447/builder,N/A,2,2,REA02400000010,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Structure: RCC Frame Structure; Interiors: Designer Interiors,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; AC Waiting Lobby; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Large Green Area,Clubhouse; Indoor Games; Luxurious Clubhouse
r210497,Abrol Signature,"Malad West, Mumbai",Rs1.05 Cr - 1.92 Cr,N/A,Under Construction,"1, 2, 3 BHK",446 Sq. Ft to 815 Sq. Ft (Carpet),Abrol,46 units,0.75 Acres,Ask for Details,Ask for Details,Malad West,Mumbai Western Suburbs,,https://www.squareyards.com/abrol-projects/981/builder,N/A,1,9,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Indoor Games
r379953,Adityaraj Central,"Ghatkopar East, Mumbai",Rs1.01 Cr - 1.48 Cr,N/A,Under Construction,"1, 2 BHK",429 Sq. Ft to 630 Sq. Ft (Carpet),Adityaraj Builders,105 units,0.21 Acres,Ask for Details,Ask for Details,Ghatkopar East,Mumbai Central Suburbs,"Strategically located near Eastern Express Highway & Link Road, Ghatkopar East,RERA approved property (P51800047551) for utmost transparency,Strategically located near Eastern Express Highway & Link Road, Ghatkopar East,RERA approved property (P51800047551) for utmost transparency,Enjoy power backup facility for uninterrupted living,Ideal for families with kids play areas and sand pits,High-quality specification in master bedrooms features oil bound distemper walls & vitrified tiles flooring,State-of-the-art amenities at an affordable price point",https://www.squareyards.com/adityaraj-builders-projects/9855/builder,N/A,11,20,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r768,Prestige White Meadows,"Whitefield, Bangalore",Rs6.90 Cr - 20.25 Cr,N/A,Ready to Move,"4, 5 BHK",4111 Sq. Ft to 12066 Sq. Ft (Saleable),Prestige,294 units,28.5 Acres,Ask for Details,1-Dec-15,Whitefield,East Bangalore,,https://www.squareyards.com/prestige-projects/483/builder,33 Years Experience,28,216,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Hob, Double Bowl Sink; Bathroom: Shower Panel, Geyser; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Indoor Swimming Pool,Power Backup; Attached Market; Treated Water Supply; Pre-School; Medical Facility; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Jacuzzi; Obeservatory Deck; Senior Citizen Area
r11818,Nyati Enclave,"Mohammadwadi, Pune",Rs78.78 Lac - 98.00 Lac,"Rs6,270 Per Sq. Ft",Ready to Move,"2, 3 BHK",1045 Sq. Ft to 1300 Sq. Ft (Saleable),Nyati,288 units,15 Acres,Ask for Details,30-Jun-08,Mohammadwadi,Pune South,"Prominent location on Solapur Road, Katraj Kondhwa Road.,Luxurious amenities for a comfortable lifestyle.,Bright spacious master bedrooms with oil bound distemper walls.,Vitrified flooring in master bedrooms for durability.,24/7 power backup, ensuring uninterrupted living.",https://www.squareyards.com/nyati-projects/525/builder,22 Years Experience,8,60,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r18642,Balaji Prasad CHS,"New Panvel, Navi Mumbai",Price on Request,N/A,Well Occupied,Ask for Details,Ask for Details,Balaji Properties,28 units,Ask for Details,Ask for Details,Ask for Details,New Panvel,Panvel,,https://www.squareyards.com/balaji-properties-projects/4246/builder,N/A,39,N/A,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r262618,Bramha Sun City Phase II,"Kalyani Nagar, Pune",Rs78.65 Lac - 1.58 Cr,"Rs7,150 Per Sq. Ft",Well Occupied,"2, 3, 4 BHK",1100 Sq. Ft to 2208 Sq. Ft (Saleable),Bramhacorp,1088 units,Ask for Details,Ask for Details,Ask for Details,Kalyani Nagar,Pune East,,https://www.squareyards.com/bramhacorp-projects/2208/builder,21 Years Experience,9,47,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Badminton Court(s); Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas; Jogging / Cycle Track,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r34272,D G Land Sheetal Sejal,"Nalasopara West, Palghar",Rs26.16 Lac - 27.23 Lac,"Rs6,815 Per Sq. Ft",Ready to Move,1 BHK,270 Sq. Ft to 281 Sq. Ft (Carpet),DGS Group,190 units,0.77 Acres,Ask for Details,Ask for Details,Ask for Details,Ask for Details,"Strategically located near Achole Road, Manvel Pada Rd.,Rera certified project with reference number P51800009516.,High-end amenities like power backup and gym.,Spacious flats with sophisticated master bedroom features.,Prime location in Nalasopara West, ideal for lifestyle.",https://www.squareyards.com/dgs-group-projects/2322/builder,30 Years Experience,9,43,N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r266208,JK Iris,"Mira Road, Thane",Rs1.00 Cr - 1.40 Cr,"Rs14,677 Per Sq. Ft",Partially Ready To Move,"1, 2 BHK",459 Sq. Ft to 658 Sq. Ft (Carpet),J K Developer,714 units,8 Acres,Ask for Details,18-Feb-20,Mira Road,Mira Bhayandar,,https://www.squareyards.com/j-k-developer-projects/3343/builder,N/A,1,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen; Bathroom: Geyser; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; PNG; High Speed Elevators; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Normal Park / Central Green,Party Hall; Amphitheater; Indoor Games
r418623,Kanakia Beverly Heights,"Bhayandar East, Thane",Rs76.00 Lac - 1.16 Cr,N/A,Under Construction,"1, 2 BHK",411 Sq. Ft to 635 Sq. Ft (Carpet),Kanakia Spaces,64 units,1.5 Acres,Ask for Details,Ask for Details,Bhayandar East,Mira Bhayandar,,https://www.squareyards.com/kanakia-spaces-projects/580/builder,32 Years Experience,2,65,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Treated Water Supply; Day Care Center; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Eco Friendly,Reading Room/Library; Party Hall; Indoor Games; Conference Room; Jacuzzi
r137819,GSRK Smart City,"LB Nagar, Hyderabad",Rs42.37 Lac - 72.77 Lac,N/A,Ready to Move,"2, 3 BHK",1115 Sq. Ft to 1915 Sq. Ft (Saleable),GSRK Estates,100 units,Ask for Details,Ask for Details,Ask for Details,LB Nagar,East Zone,,https://www.squareyards.com/gsrk-estates-projects/3765/builder,N/A,3,N/A,REA02400000010,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen,N/A,N/A,N/A,N/A,N/A
r268931,Emami Swan Court,"New Town, Kolkata",Rs91.84 Lac - 1.65 Cr,"Rs5,925 Per Sq. Ft",Ready to Move,"3, 5 BHK",1550 Sq. Ft to 2778 Sq. Ft (Saleable),Emami Realty,440 units,5 Acres,Ask for Details,Ask for Details,New Town,East Kolkata,,https://www.squareyards.com/emami-realty-projects/639/builder,13 Years Experience,10,N/A,HIRA/A/NOR/2018/000035,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Senior Citizen Area
r8018,Lodha Eternis,"Andheri East, Mumbai",Rs2.00 Cr - 3.84 Cr,"Rs24,661 Per Sq. Ft",Ready to Move,"2, 3 BHK",623 Sq. Ft to 1195 Sq. Ft (Carpet),Lodha,327 units,5.12 Acres,Ask for Details,30-Nov-19,Andheri East,Mumbai Western Suburbs,,https://www.squareyards.com/lodha-projects/521/builder,39 Years Experience,40,341,A51800000454,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Indian Marble; Walls: Oil Bound Distemper; Living Area-Flooring: Indian Marble; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Sauna; Party Hall; Clubhouse; Indoor Games; Spa; Jacuzzi
